epoch,train loss,train accuracy,validation loss,validation accuracy
1,1.775169753112793,0.3860599994659424,1.3513437372863673,0.5199999809265137
2,1.3001640663528442,0.531440019607544,1.1691338336391814,0.5896000266075134
3,1.1167524565505982,0.5999799966812134,0.9895978091628688,0.6542999744415283
4,0.9951444184875489,0.6488199830055237,0.8779215668417086,0.6894000172615051
5,0.9108406372451783,0.6817600131034851,0.795566155462508,0.7247999906539917
6,0.8577374255752563,0.7021999955177307,0.7862923912181976,0.7314000129699707
7,0.8007009741783142,0.7220199704170227,0.809926910195381,0.7261000275611877
8,0.7575115696907043,0.738860011100769,0.7838598802970473,0.7401000261306763
9,0.7365183898925781,0.7465400099754333,0.7778937144643941,0.7459999918937683
10,0.7079305967712403,0.7593399882316589,0.606777212991836,0.7976999878883362
11,0.6764043368148803,0.7690799832344055,0.6290122868528791,0.7904999852180481
12,0.6552462251758575,0.7785800099372864,0.5432945336126218,0.8126999735832214
13,0.6388713270187378,0.7829599976539612,0.6544661512420435,0.7892000079154968
14,0.624491785583496,0.7862399816513062,0.6169360939674317,0.7978000044822693
15,0.6110084092712402,0.7918199896812439,0.5563744375849985,0.8177000284194946
16,0.5978802526569367,0.7966799736022949,0.5120819055350723,0.8307999968528748
17,0.582180643787384,0.8022599816322327,0.511850081336726,0.830299973487854
18,0.5713683263874054,0.8039399981498718,0.48859227197185445,0.8367999792098999
19,0.5672284685325623,0.8092799782752991,0.5187623477096011,0.8284000158309937
20,0.5529674654483795,0.8136199712753296,0.48960714194045707,0.8378999829292297
21,0.5410970858001709,0.8148599863052368,0.4789841212094969,0.840399980545044
22,0.5395476346969604,0.8142799735069275,0.47958379613745744,0.8428999781608582
23,0.5283282833862305,0.8216599822044373,0.4509642156446056,0.8481000065803528
24,0.5265467193031311,0.8232799768447876,0.4795520081641568,0.843500018119812
25,0.5091190227699279,0.826740026473999,0.44732363019019933,0.8515999913215637
26,0.5050352607345581,0.8276200294494629,0.479823816164284,0.8461999893188477
27,0.5043214775466919,0.8288800120353699,0.4625691365284525,0.850600004196167
28,0.4953845938682556,0.8316599726676941,0.45704333142490144,0.8497999906539917
29,0.4909698339653015,0.8327000141143799,0.47021459916215036,0.8446999788284302
30,0.4910769482803345,0.8342400193214417,0.42377530114286266,0.8587999939918518
31,0.4794873959541321,0.8367999792098999,0.48140997434877286,0.8447999954223633
32,0.4742653851699829,0.8391799926757812,0.45765900896613004,0.8500999808311462
33,0.4730186156272888,0.840179979801178,0.4418356870390048,0.8511999845504761
34,0.4698415351295471,0.8391799926757812,0.4132403887001572,0.862500011920929
35,0.46694597893714906,0.8429399728775024,0.4212041123277822,0.8586000204086304
36,0.45506443326950075,0.8453199863433838,0.4115300138664853,0.8652999997138977
37,0.45754652404785157,0.8443599939346313,0.44085556980530927,0.8555999994277954
38,0.4542763058853149,0.8444399833679199,0.40247157913674214,0.8661999702453613
39,0.4582893589401245,0.8446599841117859,0.4118047262642794,0.8639000058174133
40,0.4422220694351196,0.8504199981689453,0.4482090501648605,0.8518999814987183
41,0.44821002354621886,0.8480799794197083,0.43551444371414794,0.857699990272522
42,0.438242756357193,0.8508599996566772,0.45504812658972044,0.8507000207901001
43,0.44270042819976807,0.8497999906539917,0.4480847098455308,0.8549000024795532
44,0.4348151535797119,0.8517000079154968,0.42480418892802707,0.8636000156402588
45,0.43329012144088747,0.8513399958610535,0.44331942489192744,0.8540999889373779
46,0.42893571737289427,0.8545200228691101,0.41585731226357686,0.8626999855041504
47,0.4268317871665955,0.8533200025558472,0.41972802218737876,0.861299991607666
48,0.42247790509223937,0.8550199866294861,0.4057918271156633,0.8655999898910522
49,0.4235432560443878,0.8576200008392334,0.4491610650898545,0.8561000227928162
50,0.41489441306114194,0.8583599925041199,0.4193209794106757,0.8616999983787537
